Mouse Genes Ranked,Mouse Genes Unranked,Human Ortholog Symbol
Tgoln2,Sirt6,ENSG00000077463
Ogfr,Atp10d,ENSG00000145246
Mkks,Ikbke,ENSG00000263528
Kctd16,Renbp,ENSG00000102032
Ggt6,Lgmn,ENSG00000100600
Gm608,Agmo,ENSG00000187546
Pacsin2,Pcdhga8,ENSG00000253767
Urm1,Ufsp2,ENSG00000109775
Rnf185,Tmco6,ENSG00000113119
Cdr2,Vwf,ENSG00000110799
Rbfox2,Cercam,ENSG00000167123
Psmd7,Vasn,ENSG00000168140
2210013O21Rik,Plekhh1,ENSG00000054690
Sesn3,Epb4.1l5,ENSG00000115109
Ccdc153,Synj2,ENSG00000078269
Ergic1,Cyb5d1,ENSG00000182224
Gm4724,Aimp1,ENSG00000164022
Bcap31,Fam219b,ENSG00000178761
Elf3,Cxcr5,ENSG00000160683
Atp7b,Chdh,ENSG00000016391
Dnm1,Pmvk,ENSG00000163344
Flt4,Mmp23,ENSG00000189409
Plxnb3,Birc2,ENSG00000110330
Dus1l,Usp10,ENSG00000103194
Dtl,Mrpl18,ENSG00000112110
1110004E09Rik,Tnip1,ENSG00000145901
Ctso,Mrpl57,ENSG00000173141
Crym,Crebzf,ENSG00000137504
Cadps2,Lactb2,ENSG00000147592
Trappc10,Morn3,ENSG00000139714
Nup188,Mybphl,ENSG00000221986
Zfp521,Diap3,ENSG00000139734
Zkscan6,Cpt1c,ENSG00000169169
BC030336,Ace,ENSG00000159640
Zwint,Asb14,ENSG00000239388
Upk1a,Ret,ENSG00000165731
Snx1,Iars2,ENSG00000067704
Mlycd,Ulk4,ENSG00000168038
Mgmt,Rbms2,ENSG00000076067
Armc10,Nhlrc3,ENSG00000188811
Slc35a4,Dzip3,ENSG00000198919
Hopx,Cdkn2aip,ENSG00000168564
Ifih1,Carf,ENSG00000168564
Trmt44,Mpzl1,ENSG00000197965
Tox3,Ddx21,ENSG00000165732
Zfp87,Uhrf1bp1,ENSG00000065060
Wdr44,Gdf10,ENSG00000266524
Nelfb,Ovca2,ENSG00000262664
Osbpl2,Pdzd7,ENSG00000186862
Lin52,Xrcc6,ENSG00000196419
Prdm4,Blzf1,ENSG00000117475
Pappa,Pcdhga1,ENSG00000204956
Rbm3,Stard7,ENSG00000084090
Bag5,Rnf39,ENSG00000204618
Hibadh,D17Wsu104e,ENSG00000074842
Gm20337,Dusp12,ENSG00000081721
Sumf2,Mrps24,ENSG00000062582
Mapk6,Dhx37,ENSG00000150990
Eva1b,She,ENSG00000169291
Prim1,Dbndd2,ENSG00000244274
Zfp810,4931428F04Rik,ENSG00000196123
Angel1,Kynu,ENSG00000115919
Fnbp1,Pcdhgb6,ENSG00000253305
Eif4a1,Ndufaf7,ENSG00000003509
Gas2l1,Ttc1,ENSG00000113312
Nol8,Arap2,ENSG00000047365
Plekha4,Gba,ENSG00000177628
Abcf1,Tmem62,ENSG00000137842
Zfp46,Slco2a1,ENSG00000174640
4833418N02Rik,Cacna2d4,ENSG00000151062
Zfp622,Pdcd5,ENSG00000105185
Ift81,Phpt1,ENSG00000054148
Prss36,Nop14,ENSG00000087269
Nupr1,Thap4,ENSG00000176946
Slc25a23,Cpn1,ENSG00000120054
Gimap5,Atxn7,ENSG00000163635
Zfp784,Tmem201,ENSG00000188807
Mkrn3,Ccdc135,ENSG00000159625
Idh3a,Fam167a,ENSG00000154319
C1galt1,Pold4,ENSG00000175482
Pgk1,Ndn,ENSG00000182636
Rgl1,Nkain4,ENSG00000101198
Ace3,Mccc1,ENSG00000078070
Rybp,Zfp553,ENSG00000180035
Zfp664,Cacna1h,ENSG00000196557
Mrps18b,Otud3,ENSG00000169914
Pigt,Slc27a3,ENSG00000143554
Prpf39,Htr2b,ENSG00000135914
Map4k4,Trmt1,ENSG00000104907
Hsd17b4,Exog,ENSG00000157036
Nmd3,9230110C19Rik,ENSG00000137691
Fam212a,Rbm7,ENSG00000076053
Dnajb4,Gsr,ENSG00000104687
Gsta2,B4galt4,ENSG00000121578
Tes,Pde9a,ENSG00000160191
Otub1,P2ry14,ENSG00000174944
Gm3604,Mrpl49,ENSG00000149792
Rint1,Sntg2,ENSG00000172554
Tsg101,Apln,ENSG00000171388
BC052040,Pola2,ENSG00000014138
Arrdc4,Nsdhl,ENSG00000147383
Ogg1,Mrpl27,ENSG00000108826
Stab2,Wdr31,ENSG00000148225
Ano5,Melk,ENSG00000165304
Ccdc150,Wdr18,ENSG00000065268
Igf1r,Stx5a,ENSG00000162236
Myzap,Haus1,ENSG00000152240
Ip6k3,Aoc3,ENSG00000131471
Nqo1,Tekt5,ENSG00000153060
Anxa3,Myom3,ENSG00000142661
Rab35,Nt5c,ENSG00000125458
Ctnna1,Stac,ENSG00000144681
Anp32a,Fmo1,ENSG00000010932
Gdi1,Dennd2c,ENSG00000175984
Slc33a1,Ankrd6,ENSG00000135299
Ankrd42,Snip1,ENSG00000163877
Nusap1,Fam160a1,ENSG00000164142
Plekha2,Serinc2,ENSG00000168528
Spsb3,Col6a6,ENSG00000206384
Cluap1,Tmem132d,ENSG00000151952
Slc25a40,Tmem5,ENSG00000118600
Gata3,Sh2b2,ENSG00000160999
2310057M21Rik,Tex264,ENSG00000164081
Nfatc3,Cmtm6,ENSG00000091317
Mon1b,Chek2,ENSG00000183765
Traf7,Adcy7,ENSG00000121281
Trmt6,Zfp287,ENSG00000141040
Laptm4a,Aars2,ENSG00000124608
9330162012Rik,Tns3,ENSG00000136205
Rpl10,Nup133,ENSG00000069248
Sdk1,Dapk3,ENSG00000167657
Arfrp1,Sema4b,ENSG00000185033
Zfp114,Aox1,ENSG00000138356
Rnf167,Accs,ENSG00000110455
Ppp1cc,Wdr5b,ENSG00000196981
Xirp1,Gstm7,ENSG00000213366
1700052N19Rik,Aqp11,ENSG00000178301
Slc26a9,Ogfod1,ENSG00000087263
Mrps27,Cep83,ENSG00000173588
Aim1,Zbtb3,ENSG00000185670
Herpud2,Pkn3,ENSG00000160447
Ddx20,Scd2,ENSG00000099194
Fzd6,Chaf1b,ENSG00000159259
Fam217b,Sec14l4,ENSG00000133488
Itga4,Krt19,ENSG00000171345
Gar1,Tmem79,ENSG00000163472
Rars,Antxr2,ENSG00000163297
Sumo1,Ctsh,ENSG00000103811
Banf1,Sun2,ENSG00000100242
Sec14l4,Dcdc2a,ENSG00000146038
Sergef,Plch2,ENSG00000149527
Zfp420,Prr3,ENSG00000204576
Sptlc2,Bop1,ENSG00000261236
Dclre1c,Mzf1,ENSG00000099326
Ptbp2,5730409E04Rik,ENSG00000142686
Ppp1r26,Sec24b,ENSG00000138802
Icosl,Morc3,ENSG00000159256
Zfp474,Znf512b,ENSG00000196700
Tor1a,Smpx,ENSG00000091482
Tmem127,Atxn10,ENSG00000130638
Adcy2,Cfdp1,ENSG00000153774
Pias3,E2f8,ENSG00000129173
Cnksr1,Rad51d,ENSG00000185379
Lrig2,Zfp358,ENSG00000198816
Plp1,Trip11,ENSG00000100815
Olfml1,Sord,ENSG00000140263
Mavs,Armc3,ENSG00000165309
Dcaf4,Akr1b10,ENSG00000198074
Calcoco1,Pja2,ENSG00000198961
Zbed5,Snx22,ENSG00000157734
Dync2li1,Bscl2,ENSG00000168000
Cytl1,Ndufaf5,ENSG00000101247
Fam229b,Lrrc40,ENSG00000066557
Fam122a,Nme4,ENSG00000103202
Pcdhga7,2810417H13Rik,ENSG00000166803
Misp,Tmem161a,ENSG00000064545
Irak1bp1,Slc8b1,ENSG00000089060
Foxn4,Coq5,ENSG00000110871
Stk16,Arhgap29,ENSG00000137962
Helz,Mtf1,ENSG00000188786
Asb3,Ndufa1,ENSG00000125356
Padi3,Ndufb2,ENSG00000090266
Arnt,Gipc2,ENSG00000137960
Polr2j,Cmbl,ENSG00000164237
Xrcc5,Thnsl2,ENSG00000144115
Tfcp2l1,Gm608,ENSG00000176542
Tmem119,Ppp1r1b,ENSG00000131771
Mmadhc,Samsn1,ENSG00000155307
Tgfa,E2f2,ENSG00000007968
Msra,Pphln1,ENSG00000134283
Hint3,Evpl,ENSG00000167880
Ganab,Acyp2,ENSG00000170634
Mlst8,Sdpr,ENSG00000168497
Ttll10,Hacl1,ENSG00000182591
2200002D01Rik,Brf2,ENSG00000104221
Nphp3,Aebp1,ENSG00000106624
Cox4i2,Atp5f1,ENSG00000116459
Gatc,Tmem184a,ENSG00000164855
Iqcc,Cep135,ENSG00000174799
Spin4,Kifc2,ENSG00000167702
Socs5,Krt79,ENSG00000185640
Nadsyn1,Ift27,ENSG00000100360
Ppp6r2,Ncoa3,ENSG00000124151
Fam167a,Rac3,ENSG00000124151
Ndufs7,Usp28,ENSG00000048028
Muc5b,Sco1,ENSG00000157404
Sec23ip,Kit,ENSG00000157404
Arcn1,Mrpl52,ENSG00000172590
Trpm2,Kitl,ENSG00000049130
Pcdhga3,Pcdhga11,ENSG00000253873
Gp5,Aprt,ENSG00000198931
0610009B22Rik,Nrp,ENSG00000100601
Synj2,Alkbh1,ENSG00000100601
Hint1,Penk,ENSG00000181195
Zfp35,Plekhm1,ENSG00000225190
Arrdc1,Ndufa5,ENSG00000128609
Adam33,Baalc,ENSG00000164929
Klhl9,Ccdc19,ENSG00000213085
Ncor2,Creg2,ENSG00000175874
Rnase6,Hs3st3a1,ENSG00000153976
Hspa4l,Zbed4,ENSG00000100426
Ispd,Dhrs1,ENSG00000157379
4930451G09Rik,Lcp2,ENSG00000043462
Eef1b2,Sh3bp1,ENSG00000100092
BC018507,Ndfip2,ENSG00000102471
Xpnpep3,Nr2c2ap,ENSG00000184162
Krt80,Pnrc2,ENSG00000189266
Fut11,Txk,ENSG00000074966
Kat6a,Gorasp1,ENSG00000114745
Zfx,Kank2,ENSG00000197256
Rabl2,Kcnmb1,ENSG00000145936
Pdrg1,Thumpd1,ENSG00000066654
Ptcd3,N4bp2l1,ENSG00000139597
Zkscan3,Slc15a2,ENSG00000163406
2010320M18Rik,Lrig1,ENSG00000144749
Cyr61,Scyl3,ENSG00000000457
Kcnab3,Ccdc32,ENSG00000128891
Grk4,Pnp2,ENSG00000198805
G630025P09Rik,Slc52a2,ENSG00000185803
Prss8,Nudt1,ENSG00000106268
Palm,Ccdc127,ENSG00000164366
Sorbs2,Cyp20a1,ENSG00000119004
Anks3,Gpr20,ENSG00000204882
Phyh,Adi1,ENSG00000182551
Mfge8,Pclo,ENSG00000186472
Nudt10,Efcab7,ENSG00000203965
Cep57l1,Olfml2a,ENSG00000185585
Pla2g4a,Ssu2,ENSG00000125046
Ppara,Hsd17b11,ENSG00000198189
Cd247,Arhgap22,ENSG00000128805
Gatad2a,Gle1,ENSG00000119392
Mef2d,St8sia6,ENSG00000148488
Macc1,Atp7b,ENSG00000123191
Zfp623,Atp7a,ENSG00000123191
Kpna4,Tcaim,ENSG00000179152
Lrriq1,Tmem194,ENSG00000166881
Stag2,Psmf1,ENSG00000125818
4932416H05Rik,S100a13,ENSG00000189171
Actb,Pou6f1,ENSG00000184271
Mutyh,Emb,ENSG00000184271
Alkbh1,Ssh1,ENSG00000084112
Kansl1,Cd53,ENSG00000143119
Cd86,Etnk1,ENSG00000139163
Lig1,Cyb561a3,ENSG00000162144
Fgd3,Zfp354a,ENSG00000169131
Krt222,Tceb3,ENSG00000011007
Arhgef40,Pbld1,ENSG00000108187
Sntn,Fam101b,ENSG00000183688
Ppp1r13b,Thnsl1,ENSG00000185875
Fam219b,Nfkbid,ENSG00000167604
Zfp558,Tcf24,ENSG00000261787
Ap2b1,Dctn6,ENSG00000104671
Ndufc2,Trim59,ENSG00000213186
Dnah7a,Cp,ENSG00000047457
Eri3,Galc,ENSG00000054983
Dnaja3,Mboat1,ENSG00000172197
1300002E11Rik,Pik3r6,ENSG00000276231
Chrd,Trpm4,ENSG00000130529
Eif3g,Zfp142,ENSG00000115568
Memo1,Gpi1,ENSG00000007541
Setd6,Pigq,ENSG00000007541
Mettl3,Timeless,ENSG00000111602
Fgfbp3,C330018D20Rik,ENSG00000164241
Tspan2,Cdkn2b,ENSG00000147883
N6amt1,Gngt2,ENSG00000167083
1810055G02Rik,Pml,ENSG00000266964
Gpr85,Riok2,ENSG00000058729
Hmgcs2,Fxyd1,ENSG00000266964
Git2,Myo15,ENSG00000091536
Trim41,Zfp583,ENSG00000198440
Mpzl1,Zfp622,ENSG00000173545
Nptx1,Gjb3,ENSG00000188910
Smyd3,Ttyh2,ENSG00000141540
Ttl,Park2,ENSG00000185345
Tcea2,Cyyr1,ENSG00000166265
Myo1h,Taf4a,ENSG00000130699
H2-T22,Mgst1,ENSG00000008394
Wbscr16,Ctse,ENSG00000196188
Camta1,Jmjd8,ENSG00000161999
Add1,Dkk3,ENSG00000050165
Rwdd3,Tecpr2,ENSG00000196663
Smg8,Cgnl1,ENSG00000128849
Rev1,Trmt2a,ENSG00000099899
Ifngr2,Mfng,ENSG00000100060
Afap1l2,Atg16l2,ENSG00000168010
Lrrc42,Calr3,ENSG00000269058
Kndc1,Wdhd1,ENSG00000198554
Msantd4,Fam221a,ENSG00000188732
Atl2,Dnajc24,ENSG00000170946
2310035C23Rik,Crocc,ENSG00000058453
Mill2,Slc25a40,ENSG00000075303
Slc9a5,Tekt1,ENSG00000167858
Kdm5c,Cx3cr1,ENSG00000168329
Vps16,0610030E20Rik,ENSG00000168887
Hnrnpk,Ptpn1,ENSG00000196396
E030019B06Rik,Tcta,ENSG00000145022
Enkd1,Atp5l,ENSG00000167283
Dtwd2,Zfp647,ENSG00000196150
Grik2,Col5a3,ENSG00000080573
Ss18,Zfp317,ENSG00000130803
Fem1b,Slc5a6,ENSG00000138074
Slc25a5,Scnn1a,ENSG00000111319
Golga3,L2hgdh,ENSG00000087299
Pyroxd2,Gpr108,ENSG00000125734
Ssbp3,Nlrp3,ENSG00000162711
Mxd3,Ptges2,ENSG00000148334
Fam118a,Atxn7l2,ENSG00000162650
Tmem208,Pcdhgb2,ENSG00000253910
Pomk,Dusp19,ENSG00000162999
Lhfpl2,Gca,ENSG00000115271
Limch1,Naga,ENSG00000198951
Rab11fip1,Ndufb7,ENSG00000099795
Ndufa7,Pnpla8,ENSG00000135241
Napsa,Rab20,ENSG00000139832
Strbp,Ccdc92,ENSG00000119242
Rnf150,Gramd1c,ENSG00000178075
Sra1,Arsg,ENSG00000141337
Sema4f,Slc18a1,ENSG00000036565
Alkbh5,Pqlc2,ENSG00000040487
Tcte1,Bri3bp,ENSG00000184992
Smoc2,Hsd11b2,ENSG00000176387
Ammecr1,Phactr3,ENSG00000087495
Psip1,Mb,ENSG00000198125
Fam109a,Sod1,ENSG00000142168
9230114K14Rik,Wdr34,ENSG00000119333
Actn2,R3hdm4,ENSG00000198858
Pkp3,Zfand1,ENSG00000104231
Dnmt1,Lmf2,ENSG00000100258
U2surp,Foxred2,ENSG00000100350
Bud31,Pdzk1ip1,ENSG00000162366
Bri3bp,Aim1,ENSG00000164175
Gm15772,Arhgap27,ENSG00000159314
Cradd,Klf8,ENSG00000102349
9130221H12Rik,Mocs2,ENSG00000164172
Ppp1r37,Dusp18,ENSG00000167065
Trub1,Uap1l1,ENSG00000197355
Upf2,Slc1a5,ENSG00000105281
Fabp4,Slc4a1,ENSG00000004939
Bdkrb2,Coa5,ENSG00000183513
Acsl4,Xk,ENSG00000047597
Usp12,Afap1,ENSG00000196526
Klf16,Nudt14,ENSG00000183828
Prkch,Prkcsh,ENSG00000130175
Pdlim4,Sh3rf3,ENSG00000172985
Cul1,Zbtb8b,ENSG00000273274
Rps19-ps3,Lamb3,ENSG00000196878
Zfp609,Slc27a2,ENSG00000140284
Hist3h2a,Tcf3,ENSG00000071564
Htt,AI846148,ENSG00000168005
Cfp,Nostrin,ENSG00000163072
Rpl30,Fkbp1a,ENSG00000088832
Pcdh12,Tbccd1,ENSG00000113838
Sod1,Acn9,ENSG00000196636
Cacna2d1,Tctex1d2,ENSG00000213123
Ube2g1,Birc5,ENSG00000089685
Srgn,Echdc1,ENSG00000093144
Foxk1,Sdhd,ENSG00000204370
Arf1,Epb4.1l2,ENSG00000079819
Cntn1,Decr1,ENSG00000104325
Vdac2,Ccr5,ENSG00000160791
Psmd11,Tmem97,ENSG00000109084
Nxf1,Gak,ENSG00000178950
Cyth3,Mmp11,ENSG00000099953
Akap5,Rpusd1,ENSG00000007376
Pdzrn3,Aga,ENSG00000038002
F7,Depdc1a,ENSG00000024526
Ehhadh,AU040320,ENSG00000142687
Orc1,Bptf,ENSG00000171634
Apln,Nup210l,ENSG00000143552
Mta3,Hif3a,ENSG00000124440
Gimap3,Nsun3,ENSG00000178694
Add2,Zufsp,ENSG00000153975
Ifi35,Steap4,ENSG00000127954
Erich3,Commd6,ENSG00000188243
Ppat,Chchd7,ENSG00000170791
Fbxo7,Enpp4,ENSG00000001561
Birc6,Slc17a9,ENSG00000101194
1700096K18Rik,B3gnt9,ENSG00000237172
Emb,Cc2d1a,ENSG00000132024
Gm16576,Hps6,ENSG00000166189
Dusp1,Ankrd35,ENSG00000198483
Ralgps1,Zfp641,ENSG00000167528
Dhrs1,Ncf1,ENSG00000158517
Tfip11,Zc3h12a,ENSG00000163874
Gpaa1,Itga2,ENSG00000164171
Accs,Scpep1,ENSG00000121064
Fam204a,4930579G24Rik,ENSG00000205208
Orc5,B930041F14Rik,ENSG00000228594
Nt5e,Cdk3-ps,ENSG00000250506
Nxt2,Ankrd23,ENSG00000163126
Atp8b1,Fam13b,ENSG00000031003
Lhpp,Zfyve26,ENSG00000072121
Tnfrsf11b,Pop4,ENSG00000105171
Ercc8,Caap1,ENSG00000120159
Caprin2,Vwa7,ENSG00000204396
Armcx6,Poll,ENSG00000166169
Bag3,Dennd2a,ENSG00000146966
1500012F01Rik,Cnpy4,ENSG00000166997
Prdx4,Pon1,ENSG00000005421
Dtx4,Myocd,ENSG00000141052
Rbp4,Vps9d1,ENSG00000075399
Smyd2,Smpd1,ENSG00000166311
Nrp2,Ccdc88c,ENSG00000015133
Rnf8,Corin,ENSG00000145244
Srsf1,Lrp4,ENSG00000145244
Armc9,Trim45,ENSG00000134253
Fam213a,Gpr126,ENSG00000112414
Ier3ip1,Nup153,ENSG00000124789
Pfdn4,Ninj1,ENSG00000131669
Zfp354c,Naglu,ENSG00000108784
Rap1gap2,Ttll9,ENSG00000131044
Gm17066,Entpd6,ENSG00000197586
Ctsa,Ppp1r3f,ENSG00000049769
Nfic,Hhipl1,ENSG00000182218
Zfhx3,1700028K03Rik,ENSG00000203910
Ssr3,Cldn8,ENSG00000156284
Ttc37,Gli2,ENSG00000074047
Serinc4,Thg1l,ENSG00000113272
Mvp,Trpt1,ENSG00000149743
Cecr6,Adamts1,ENSG00000154734
Rchy1,Gpc2,ENSG00000213420
Ogfod2,Slc5a12,ENSG00000148942
Nucb2,Hcfc2,ENSG00000111727
Fkbp15,Nudt5,ENSG00000165609
Gstcd,Mcfd2,ENSG00000180398
Bard1,Galns,ENSG00000141012
Tmem41b,Mrpl3,ENSG00000114686
Rac3,Rmnd1,ENSG00000155906
Ccdc135,Ctsz,ENSG00000101160
Lamp3,Tmem260,ENSG00000070269
Tomm22,Bcl7b,ENSG00000106635
Dcdc2c,Casp7,ENSG00000165806
Clpb,Dgka,ENSG00000065357
Rdh13,Cdv3,ENSG00000091527
Ndnl2,Lmod1,ENSG00000163431
Cep70,Asxl3,ENSG00000141431
Cd164l2,Kiss1r,ENSG00000116014
Bmp2,Ddx20,ENSG00000064703
Galnt18,Atp5o,ENSG00000241837
Mpdu1,Bcap29,ENSG00000075790
Tstd1,Cdh3,ENSG00000062038
Arsb,Wdsub1,ENSG00000196151
Tlr3,Cbx2,ENSG00000173894
Evl,Murc,ENSG00000170681
D430019H16Rik,Sbno2,ENSG00000064932
Klhl20,Slc16a4,ENSG00000168679
Mrpl12,Rnf25,ENSG00000163481
Ror2,Pcdhgb7,ENSG00000254122
Rbpms,Bzrap1,ENSG00000005379
Stap2,Pycrl,ENSG00000104524
Gper1,Ace2,ENSG00000130234
Chsy3,Inpp5j,ENSG00000185133
Prmt2,Efcab2,ENSG00000203666
AI661453,Blvra,ENSG00000106605
Twf1,Tmem241,ENSG00000134490
Tpgs1,Rnf180,ENSG00000164197
Tshz3,Tecrl,ENSG00000205678
A630007B06Rik,Pcdhgb1,ENSG00000254221
Ndufb11,Arsk,ENSG00000164291
Rsad1,Efna4,ENSG00000243364
Fam102b,Elac2,ENSG00000006744
Cage1,Nmnat1,ENSG00000173614
Fbxo10,Higd2a,ENSG00000146066
Ino80,Coa3,ENSG00000183978
Mrpl11,Mrps33,ENSG00000090263
Tarbp2,Adprh,ENSG00000144843
Tmem37,Nat2,ENSG00000171428
Tmx1,Zbtb24,ENSG00000112365
Pccb,Ppp6r2,ENSG00000100239
Ganc,Ttc33,ENSG00000113638
Spta1,Ncoa7,ENSG00000111912
Lrig1,St3gal5,ENSG00000115525
Gtf2i,Rai1,ENSG00000108557
5830415F09Rik,Rspo4,ENSG00000101282
Rock2,Mlxipl,ENSG00000009950
Tbc1d15,Pnpla7,ENSG00000130653
Mdfi,Zfp575,ENSG00000176472
Hexim2,Errfi1,ENSG00000116285
4933431E20Rik,Mrpl51,ENSG00000111639
Tank,Rttn,ENSG00000176225
Gbgt1,Hyal2,ENSG00000068001
Rad17,Zscan21,ENSG00000166529
Fn3k,Mdn1,ENSG00000112159
Alpl,Mtrf1,ENSG00000120662
Tgoln1,Mrvi1,ENSG00000072952
Gdpd1,Fdft1,ENSG00000079459
Rps13,Anks3,ENSG00000168096
Tsc22d2,Poc1b,ENSG00000139323
Nudt13,Steap1,ENSG00000164647
Stac2,Mrc1,ENSG00000260314
Plxna2,Tbc1d2,ENSG00000095383
Ube4a,Gyg,ENSG00000163754
Gas5,Itih1,ENSG00000055957
Pmaip1,Gzf1,ENSG00000125812
Bmpr2,Pex1,ENSG00000127980
4933434E20Rik,Qpct,ENSG00000115828
Fads1,Soat2,ENSG00000167780
8030462N17Rik,Acat2,ENSG00000167780
Cml3,Mrpl30,ENSG00000185414
Tfdp2,Ndufaf6,ENSG00000156170
Cds2,Rpgrip1l,ENSG00000103494
Txnl4b,Fat2,ENSG00000086570
Zeb2,Smn1,ENSG00000172062
Fbxo17,Ncapg,ENSG00000109805
Thap3,Lefty1,ENSG00000243709
Tmem158,Mt1,ENSG00000205362
Cbx8,Fbln2,ENSG00000163520
Rin2,Myo9b,ENSG00000099331
Gpr98,Fam63b,ENSG00000128923
Casp6,Gemin5,ENSG00000082516
Ddx31,Usp11,ENSG00000102226
Zscan21,Seh1l,ENSG00000085415
Star,Pltp,ENSG00000100979
Rgs8,Pnpla2,ENSG00000177666
Ndc1,Ndufa13,ENSG00000186010
3000002C10Rik,Hmox1,ENSG00000100292
Tex15,Fpgs,ENSG00000136877
Ldha,Cox10,ENSG00000006695
Cisd1,Jak3,ENSG00000105639
Clint1,Numa1,ENSG00000137497
Sf3b4,Sirt5,ENSG00000124523
Dpyd,Tsta3,ENSG00000104522
Ppp1r10,Minpp1,ENSG00000107789
Mst1,Mmp17,ENSG00000198598
Slc9a3r2,Irak1bp1,ENSG00000146243
Dnal4,Zmynd12,ENSG00000066185
Fam60a,Ggct,ENSG00000006625
Igfbp3,Lsg1,ENSG00000041802
Gbp2,Agfg2,ENSG00000106351
Il17rd,Ttc4,ENSG00000243725
Lrrtm3,Cyp4v3,ENSG00000145476
Lrrc20,Ptprz1,ENSG00000106278
Rpl7,Alkbh7,ENSG00000125652
Col20a1,Pkhd1l1,ENSG00000205038
Prkab2,Dnajc19,ENSG00000205981
Cpxm1,Pars2,ENSG00000162396
Nceh1,Aurka,ENSG00000087586
Mphosph8,St14,ENSG00000149418
Ccdc122,Agpat5,ENSG00000155189
Zkscan7,Hibch,ENSG00000198130
Ift22,Rnf43,ENSG00000108375
Ccdc82,Gmip,ENSG00000089639
Trnau1ap,Snx19,ENSG00000120451
Cfl2,Igfbp2,ENSG00000115457
Znhit1,Tmprss13,ENSG00000137747
1110001J03Rik,Prodh,ENSG00000277196
Lrrc59,Ppp1r16a,ENSG00000160972
Tstd3,Setd8,ENSG00000183955
Ppp1r42,Gpx8,ENSG00000164294
Ss18l1,Hdgfrp2,ENSG00000167674
Igdcc4,Gltscr2,ENSG00000105373
Abhd14b,Stab1,ENSG00000010327
Rab32,Igfbp3,ENSG00000146674
Zfp874a,Bphl,ENSG00000137274
Acyp2,Slc16a12,ENSG00000152779
Lgi4,Serinc5,ENSG00000164300
Nutf2,N6amt2,ENSG00000150456
Islr,Gif,ENSG00000134812
Acox2,Snx25,ENSG00000109762
Mob3a,S1pr4,ENSG00000125910
Ecsit,Mecr,ENSG00000116353
Shkbp1,Toe1,ENSG00000132773
Napg,Osgin1,ENSG00000140961
C2cd4b,Enpp5,ENSG00000112796
Tmem55a,Zfp90,ENSG00000184939
Lurap1,Ramp3,ENSG00000122679
Edil3,Myd88,ENSG00000172936
Rilp,Lrrc15,ENSG00000172061
Tnfrsf19,Ccbl1,ENSG00000171097
Cd8a,Fstl3,ENSG00000070404
Mok,Zfp598,ENSG00000167962
Rpl36al,Mfsd2b,ENSG00000205639
Serpinb6b,Slc7a2,ENSG00000165349
Ccdc71l,Slc7a3,ENSG00000165349
Ndufaf2,Slc7a1,ENSG00000165349
Fgfr2,Trim35,ENSG00000104228
Arhgef18,Ndor1,ENSG00000188566
Msn,Svep1,ENSG00000165124
Coq6,Plac8,ENSG00000145287
BC051019,Mast4,ENSG00000069020
Abl2,Ift140,ENSG00000187535
Zfp617,Ssfa2,ENSG00000138434
Golga1,Repin1,ENSG00000214022
Pcdhb13,Senp5,ENSG00000119231
Smarcb1,Tnfaip8l1,ENSG00000185361
2810021J22Rik,Arl6,ENSG00000113966
Abcg3,Ankrd16,ENSG00000134461
Sprtn,Ftl1,ENSG00000087086
Wdr65,Ankrd27,ENSG00000105186
Ei24,Gramd3,ENSG00000155324
Ski,Mdfic,ENSG00000135272
Kcnh2,Kbtbd11,ENSG00000176595
Acly,Vps37c,ENSG00000167987
Gls,Ncl,ENSG00000115053
Ccdc142,Flt1,ENSG00000102755
Zmiz2,Neu1,ENSG00000204386
Cmtm8,Slc45a4,ENSG00000022567
Tmem218,Mia,ENSG00000261857
Itga3,Gpr39,ENSG00000183840
LOC100503676,Gcnt4,ENSG00000176928
5730508B09Rik,Zfp395,ENSG00000186918
BC020402,Aldh16a1,ENSG00000161618
Tspan8,Cyp2f2,ENSG00000197446
Ankhd1,Arxes2,ENSG00000129128
Ifrd1,Arxes1,ENSG00000129128
Ufl1,Arhgef16,ENSG00000130762
Prkcq,Gemin4,ENSG00000179409
Rraga,Mfsd8,ENSG00000164073
Ska3,Zfp623,ENSG00000183309
Cep83,Ktn1,ENSG00000126777
Casc4,Myo19,ENSG00000278259
Rassf4,Nek1,ENSG00000137601
Mmp3,Cdon,ENSG00000064309
Ptplb,Mphosph10,ENSG00000124383
Trim68,Usp6nl,ENSG00000148429
Gm13139,Nat9,ENSG00000109065
Ppp2r1a,Znhit2,ENSG00000174276
Arpc5l,Plgrkt,ENSG00000107020
Ltc4s,Ccdc97,ENSG00000142039
Mettl8,Fut10,ENSG00000172728
4930413G21Rik,Tbcd,ENSG00000141556
Zfp410,Cpa1,ENSG00000091704
Ttyh1,Sh3rf2,ENSG00000156463
D430042O09Rik,Tmem237,ENSG00000155755
Serpina7,Tbxas1,ENSG00000059377
Mrps30,Plin1,ENSG00000166819
Zbp1,Golim4,ENSG00000173905
Siah1a,Lrrc18,ENSG00000165383
Tmem115,Hyls1,ENSG00000198331
Yrdc,Nop9,ENSG00000196943
Mga,Sh3tc2,ENSG00000169247
Copz1,Cebpz,ENSG00000115816
Traf3ip3,Plekha5,ENSG00000052126
Ctsc,Ubap2,ENSG00000137073
Klf6,Eif2ak1,ENSG00000086232
Tmem245,Rad9a,ENSG00000172613
